title,body,assignee,milestone,labels
DE22 Review MDBR,AS A Data Scientist for Region 2 I WILL review the modified deal business rules with all 3 countries SO THAT I can assure they are the most helpful to DROs and kicking out the deals it should,adschiltz,,DE22 Scorecard Redevelopment
DE22 Validation Documentation,AS A Data Scientist for Region 2 I WILL complete the necessary documentation for onboarding the redeveloped Germany scorecard SO THAT it is ready for validation and eventual approval for production,adschiltz,,DE22 Scorecard Redevelopment
DE22 System Implementation   WR7 SAS Changes  CD CT PR Testing ,blank,adschiltz,,DE22 Scorecard Redevelopment
CTab Cleanup,AS A Data Scientist for Region 2 I WILL clean up the CTAB dataset in the PMR for all 3 countries SO THAT I can ensure we have clean accurate and accessible data for each application and it's it one location,adschiltz,,R2 Portfolio Management
Update Reports   Spain Leasing,blank,adschiltz,,Spain Leasing
Discovery   Environmental Risk,blank,adschiltz,,R2 Environmental Risk
Decision Strategy Updates   Environmental Risk,blank,adschiltz,,R2 Environmental Risk
DE22 Validator Questions Comments,blank,adschiltz,,DE22 Scorecard Redevelopment
Rethink PMA Write off Process,blank,adschiltz,,None
DE22 Retroscore,blank,adschiltz,,DE22 Scorecard Redevelopment
Quarterly Report   JD Assets Labeled 'Other',Build a quarterly report that shows all JD assets that were labeled 'Other' and also show the dealer ASM to pinpoint who needs help in correcting the behavior. Get a preliminary report out to the group prior to Memorial Day.,adschiltz,,R2 Portfolio Management
DE22 Model & Decision Strategy Approval Meeting,Gain approval from Andrew Joel and Dan for the new Germany scorecard and updated decision strategy rules. Also meet with Felix to gain his support as well   meeting with him first.,adschiltz,,DE22 Scorecard Redevelopment
Spain PMA MANUF SUBSIDY Issue,blank,adschiltz,,None
FCA Requirements   Approval & WebRules Changes Testing,Regulated business can no longer instantly approve in the UK per the FCA. Regulated business = sole trader or partnership with less than 3 partners and amount financed less than 25000 GBP.  ,adschiltz,,None
UK Periodic Review   Validator Questions Comments,blank,adschiltz,,None
UK Periodic Review   Final Approval Meeting,blank,adschiltz,,None
SOTPR Round 2,Complete and present slide deck for Round 2 with Risk Analytics group,adschiltz,,R2 Portfolio Management
SOTPR Final,Complete and present slide deck for final with SLT.,adschiltz,,R2 Portfolio Management
UK Decision Strategy Review Updates,blank,adschiltz,,None
Poland Retail Portfolio,Evaluate what we need to bring the Poland financing portfolio in house by January 2024.,adschiltz,,None
UK Experian API   Human Readable Issues,Zoot investigating a variety of issues the UK team is seeing in the human readable report since the Experian API upgrade.,adschiltz,,None
Exposure By Percentile   R2,Cullen requested exposure broken out by percentile  1 100  for each country. This comes from concern from management when increase the exposure limit for scoring and auto approvals.,adschiltz,,R2 Portfolio Management
DE22 Validation   Final Approval Meeting,blank,adschiltz,,DE22 Scorecard Redevelopment
Historical Argentina Applications data enrichment for Vero,Argetina team has required historical data to upload on their database. ** Fernanda to define & move to Cris **,adschiltz,,AR21 Scorecard & Decision Strategy   Implementation
BR Brain Ag SERPRO   Investigation,Work with P2 to understand the information available in BR brain  & Serpro.  > identify list of information available  > understand format  > demo   how to use and connection  Back testing Brain Ag's data to our BJD database to assess accuracy of their data Coordinate with Bruno ,adschiltz,,BR Brain Ag SERPRO database
BR CF   Pre Screen: Data Analysis,With the data sample created the team should analyse and recommend the main features that most impact the decline of an application. Acceptance Criteria: A report with team's recommendation of features that impact the decline of an application and which should be used to Pre Screen C&F.,adschiltz,,BR   CF Prescreen iniciative
MX DLR watchlist   PEGA,  > It was included in Pega the start and end date in for dealer watchlist.RA needs to update the watchlist logic to incorporate that information. ,adschiltz,,R3 Scorecard & Decision Strategy Enhancement
MX DS analysis,During the monthly meeting with underwriting team one item that was raised by the team when the decision strategy would be reviewed.Considering the priorities of our team there is no space to start the process of reviewing the rules. It was agreed that our team would prepare some analysis considering the rules and the approval rate of them and provide it to MX underwriting team.  ,adschiltz,,MX   Decision Strategy review
BRAg23 DS review   data analysis,Part of the Ag redevelopment is the Decision Strategy review.RA team needs to prepare the analysis considering the current rules and the failures to suggest enhancements. ,adschiltz,,BRAg23 Ag Scoring Model Redevelop
BRAg23 DS review   underwriting meeting,Share with Underwriting team the analysis and the suggestions of changes reviewing the rules and showing the results.,adschiltz,,BRAg23 Ag Scoring Model Redevelop
BRAg23 DS review   back testing,In parallel with the discussions with underwriting team RA will be performing back testing to understand the impact of the changes in the auto approval rate.,adschiltz,,BRAg23 Ag Scoring Model Redevelop
BRAg23 DS review   Pega coding,Coding the new rules of the decision strategy in Pega.,adschiltz,,BRAg23 Ag Scoring Model Redevelop
Serasa Score Backtesting   Corporation,Run a backtesting with Serasa for companies and understand how adherent this score is in Deere portfolio.,adschiltz,,None
JDF x BCB rating   Override Report,As a Risk Analytics team member I want to know the behavior of overrides done by Credit Analysts after the changes made on JDF x BCB score mapping so I can made recommendations for improvements.,adschiltz,,BR JDF Grade vs. BCB Rating Mapping
AR AG Sola Firma inclusion,As a credit analyst I want to have the applications from the Finance Product Type SOLA FIRMA having the same behavior as PRENDARIO and LEASING applications so SOLA FIRMA applications can be scored. Acceptance Criteria: After submit a sola firma application the scorecard must behave as a prendario or leasing application. Also the codes in SAS should me updated in order to reflect the changes in PEGA. Technical info:Adjustments in PEGA Decision Table ARG RTL DecisionRulesApplication;Update the AR Score Decision Validation SAS code;,adschiltz,,None
MX   DLR Watch list  Pega ,P7 team has implemented the start  end date feature in Pega for Dlr watch list.RA needs to implement the rules!,adschiltz,,R3 Scorecard & Decision Strategy Enhancement
BR CF   Pre Screen: Senior Leadership approval,Request approval to senior leadership for implementing the CF prescreen.,adschiltz,,BR   CF Prescreen iniciative
BR CF   Pre Screen: Json analysis,As a Software Engineer from P2 team I need to validate the json structure used in PEGA for Pre Screen applications so that we can use json files instead of the SHIM api. ,adschiltz,,BR   CF Prescreen iniciative
BR CF   Pre Screen: Creating decision flow Pega,Creating the new decision flow in Pega to address the CF prescreen initiative  Atrium  ,adschiltz,,BR   CF Prescreen iniciative
Chile Monitoring Report,As a Risk & Analytics Team I want to have a close monitoring report gathering the transactions information related to customer payments and portfolio balance for ChileSo that our Data & analytics team will be able to analyze customers in past due and total portfolio delinquency rates and stages delinquencies. ,adschiltz,,R3 Portfolio Management
MX   Recovery Chart,Build Recovery report and chart for MX portfolio,adschiltz,,R3 Portfolio Management
Atrium   Customer History,Review the information sent by Joyce  underwriting team  to ensure that all the possible scenarios are included in the analyzes.  Creating scenarios for the test process    Different scenarios to capture the complexity of the calculation  Test must be done in both system   Atrium & BJDWeb to ensure that the calculation is the same in both systems   Perform the test end to endTotal Exposure = Direct exposure + Indirect exposures + on going applications ,adschiltz,,R3   Atrium initiative  P2 
BR Score   Equip elements,"During the CF Decision Strategy review we identify that all the Wirtgen piece of equipment are being categorized as """"Equipamento Wirtgan""""in stead of the real category. Besides that the model is being describe with the equip category + model + manufacture all together in one field.Considering that the Risk & Analytics team will request: 1  Change the equip category for the Wirtgen equipment considering the real category   using the same standard used in AG CF pieces of equipment2  Standardize the model field   as used in AG CF description 3  Standardize the manufactory information 4  For used piece of equipment create a flag that identify if the equip is used or new. exclude the """"USADO"""" from the model description field add the manufactory  now the field is """"null"""" and the manufactury is identified in the model description ",adschiltz,,None
BR P&S Credit Life Cycle Reporting,Build out full credit life cycle reporting for Parts & Service   Initial work focused on PMR but that is only book transaction not applications.    Need to go to the root data sources so it becomes a bigger effort.    Performance could be build off PMR but likely need to split the products anyway so not productive to do from PMR.,adschiltz,,None
BR IFRS9   Model development,  > coordenating the efforts with Marisa when necessary,adschiltz,,R3 BR IFRS9 Implementation
BR Credit Delivery process   Credit limit flow,Working with RA and Underwriting team to define Credit limit flow.  How to ste credit limit???  Should we use the soring model to score those transactions??,adschiltz,,BRAg23 Ag Scoring Model Redevelop
BR PMR main file   redevelopment,Supporting P10 in redeveloping PMR main file  already implemented in Brazil   > mapping all the elements needed for developing PMR main file   elements and concept. There is information that has not been pulled into PMR   > reviewing the code that pull all the data from BJDWeb and TOTVS table   >  improving performance  ,adschiltz,,BR PMR Enhancement
BR PMR Recovery file,As part of the effort of the IFRS9 implementation the devvelopmento of the PMR Recovery file is one of the priority of P10.In order to gather the data for the PMR Recovey file I will be supporting P10 team to understand the process systems and concepts of the recovery index by attending the meetings with different teams   RA P10 Risk and Collection   > data support   helping P10 to create the data used for IFRS9  Collateral   recovery   PMR   TOTV   > articulating  priorities and efforts related informations that need to be gathered ,adschiltz,,BR PMR Enhancement
Atrium UAT   Errors  Very High risk ,During the UAT it was identified several errors in the Atrium system and in Credit delivery process.The errors were clasified considering the level of the risk   Very high High Medium and Low.In order to classify them it was taken in consideration the impact in the score model and Descision strategy result  and the impact in the underwritinh process. Very High   the implementation of Atrium Instant Decsion cause an error in the request msg when submitted from AP system.The majority of the inf in the request msg is incorrect   information used in the score model and Decision Strategy.   > In order to address this error RA will share all the information with P2 and UW to define priority and solution to ensure the accurancy of the data submitted to the model,adschiltz,,R3   Atrium initiative  P2 
Atrium UAT   Errors  High risk ,During the UAT it was identified several erros in the Atrium system and in Credit delivery process.The errors were clasified considering the level of the risk   Very high High Medium and Low.In order to classify them it was taken in consideration the impact in the score model and Descision strategy result  and the impact in the underwritinh process. The list of errors is attached.   > In order to address this error RA will share all the information with P2 and UW to define priority and solution to ensure the accuracy of the data submitted to the model   Credit delivery process,adschiltz,,R3   Atrium initiative  P2 
Atrium UAT   Errors  Medium risk ,During the UAT it was identified several erros in the Atrium system and in Credit delivery process.The errors were clasified considering the level of the risk   Very high High Medium and Low.In order to classify them it was taken in consideration the impact in the score model and Descision strategy result  and the impact in the underwritinh process. List of errors attached.   > In order to address this error RA will share all the information with P2 and UW to define priority and solution to ensure the accurancy of the data submitted to the model,adschiltz,,R3   Atrium initiative  P2 
Atrium UAT   Errors  Low risk ,During the UAT it was identified several erros in the Atrium system and in Credit delivery process.The errors were clasified considering the level of the risk   Very high High Medium and Low.In order to classify them it was taken in consideration the impact in the score model and Descision strategy result  and the impact in the underwritinh process. List of errors attached   > In order to address this error RA will share all the information with P2 and UW to define priority and solution to ensure the accurancy of the data submitted to the model,adschiltz,,R3   Atrium initiative  P2 
Atrium   OMDM and SAS jobs adjustm.  production ,P2 team has launched in production the new front end system called Atrium. Some fields in the request msg submitted by this system has different format  ApplicationID and CustomerID . In order to accommodate the the new format we need to modify the fields in OMDM and SAS jobs. I will be working with Renan supporting him to make those changes.  ,adschiltz,,None
BR Credit Delivery process   auto decline,Coodernating the discussion with Ops team to define the process when implementing auto decline.  > mapping new process  > brainstorming what transactions should be auto decline defining rule set  ,adschiltz,,BRAg23 Ag Scoring Model Redevelop
Administrative items,Accomplish different items regarding GMP comments RocK Career development   Fuel 50,adschiltz,,None
BR  Pre Screen   Coordination,Coordinating the efforts among different areas and product families to ensure the implementation of the  Pre Screen Auto Decline for CF. Help and support our team with information to perform the analysis of possible attributes and rules that can be used as a start point for our discussions with underwriting team Be involved in all discussions with P2 regarding developing features in Atrium pulling Bureau information defining criteria.  ,adschiltz,,BR   CF Prescreen iniciative
BCB rating vs JDF grade   Credit Policy  override ,During the JDF grade vs BCB rating analysis one topic discussed was to stop the override process for new customer.The suggestions presented to the senior leadership were: Stop the process of overriding BCB grades 100% for new customer Dramatically limit overrides for existing customers – i.e. require Credit Director to approveIn order to ensure the change of the override process the team will propose to add to the credit policy those items.,adschiltz,,BR JDF Grade vs. BCB Rating Mapping
202306    SOTPR   Round 2,Prep the SOTPR deck considering Cullen's comment being ready for the Ops team,adschiltz,,None
Ingest S&P Global  API ,Consume External Data  S&P Global  via an API.  This will drive the new process of assigning internal country risk.      Child UserStory  S&P Subscription     Understand S&P Subscription  Kanlaya Jim Hoke    Do we have the right contract?         Child UserStory  S&P Data Gathering     How do I connect to the data?   Ingest data  API        Child UserStory  S&P Data Explore     Explore data,adschiltz,,Internal External Country Risk Rethink
Define S&P Global Rating Categories,Define S&P Rating Categories  how to transition from EIU score category to S&P score category  Compare Mappings  EIU vs S&P  Create new alignment  set categories of VL L M H VH  Analyze scale changes.  Do they make sense?,adschiltz,,Internal External Country Risk Rethink
JDWIN exposures from FSCM,Enhance the logic for identifying JDWIN exposures in FSCM.  ,adschiltz,,Country Risk Reporting
Wholesale RR Charts   Alignment Effort,Explore the option to combine the following two processes: US CA Wholesale RR charts  by analyst Global Wholesale RR charts  all but US CA ,adschiltz,,Risk Analytics Support
Wirtgen Summary Across Regions,Product   Slide #   Comments Suggestions and Discussion Topics   Owner   Requestor   Follow Up Needed   Action       Intl       Can we pull together a Wirtgen Summary across Regions   Hawes   Kain   Traeger   Y   maybe a 1 slide picture globally of the Wirtgen exposure. Cullen to reach out to Andrew for clarification,adschiltz,,None
GTF Data:  Automate Ingestion,"Automate our Ingestion of GTF data both exposures and mitigants.   Explore feasibility of having this in Alfa.  Explore other options.   This user story used to have two children user stories associated with it:  """"US122212 GTF Data: Explore sourcing from Alfa"""" was completed accepted.""""US122213 GTF Data: Productionize Trial Balance"""" is still to be completed but is still in the backlog.   Because of this the parent user story  US111835  was stuck 'In Progress' since one child was not yet complete and we couldn't move it manually.  The second child user story is not a high priority at the moment and might be in the backlog for a bit so having this set as 'in progress' was misleading.  To fix this I will break the link.  This parent user story will now only have one child  in the backlog  and the completed user story will be changed to have its parent be F6747 Country Risk Reporting.",adschiltz,,Country Risk Reporting
Tableau:  Live Connection Fix,The Live data connections within Tableau are not working as desired.  Determine issue and fix throughout.   1.  EIU is working properly.2.  R2 Dealer Dashboards is not working as live connection3.  Country Risk  test version hitting SAS  is not working as live connection,adschiltz,,Risk Analytics Support
Automate EIU data ingestion,Learn from Renan   to ingest monthly EIU data through FileZilla in an automated fashion. Run nightly   gather new file if it exists  Automate email to Cullen and Laura when monthly update actually occurs   ,adschiltz,,Country Risk Reporting
Support R1 Utkarsh 2.0 Tables,"AS A Data Wrangler in International Risk Analytics I WANT TO provide support to Jameel Malas' """"Utkarsh 2.0 Tables"""" user story SO THAT he has more bandwidth as he converts to the new data structure and works through testing the new data Jameel is actively working on this but waiting on delivery from the product team.  I will get more involved as things move forward.  For now will move to backlog.",adschiltz,,None
New Wirtgen Activity   How to identify,AS A Data Wrangler responsible for the Country Risk update process I WANT TO be sure I have visibility to all Wirtgen exposures SO THAT new Wirtgen business will not be missed.How will we know if we're missing new Wirtgen data in a new market?Does an Essbase shared product summing up all Road Building exist?  Or can one be created?Other methods? Might have started this discussion in prior years but need to formalize request answer.     ,adschiltz,,Country Risk Reporting
Set LAG feature in SAS for DFA Metrics charts,The Global DFA Metrics Chart have a LAG option within SAS that is currently not being utilized and the template is defaulting to a lag of 2.   Update the Template to use the LAG from SAS  while allowing it to be overwritten  Update the SAS code to utilize the LAG component.   Align the LAG in SAS so that it matches what that country currently uses today      ,adschiltz,,Risk Analytics Support
Global Dealer Watchlist  stratify enhance ,Take original  rather manual  chart delivery process and enhance.   Stratify   to allow for different types of stratification  country portfolio etc.  and that allows all to utilize one template  rather than having a template for each number of segments in that chart .   Additional chart types   Pct of HR dealers to total dealers by count and exposure,adschiltz,,None
